year,fips,state_fips,county_fips,state_name,metro and non-metro,income_group,income group population,total population of all income income groups
2010,1001,1,1,Alabama,1.0,$25-50k,5129,19718
2010,1001,1,1,Alabama,1.0,$50-100k,7063,19718
2010,1001,1,1,Alabama,1.0,Under $25k,4036,19718
2010,1001,1,1,Alabama,1.0,Over $100k,3490,19718
2010,1003,1,3,Alabama,1.0,$25-50k,18864,69476
2010,1003,1,3,Alabama,1.0,$50-100k,22369,69476
2010,1003,1,3,Alabama,1.0,Under $25k,15751,69476
2010,1003,1,3,Alabama,1.0,Over $100k,12492,69476
2010,1005,1,5,Alabama,,$25-50k,2686,9795
2010,1005,1,5,Alabama,,Over $100k,685,9795
2010,1005,1,5,Alabama,,Under $25k,4029,9795
2010,1005,1,5,Alabama,,$50-100k,2395,9795
2010,1007,1,7,Alabama,1.0,Under $25k,2221,7441
2010,1007,1,7,Alabama,1.0,Over $100k,971,7441
2010,1007,1,7,Alabama,1.0,$25-50k,2061,7441
2010,1007,1,7,Alabama,1.0,$50-100k,2188,7441
2010,1009,1,9,Alabama,1.0,Over $100k,2646,20605
2010,1009,1,9,Alabama,1.0,$50-100k,6707,20605
2010,1009,1,9,Alabama,1.0,Under $25k,5663,20605
2010,1009,1,9,Alabama,1.0,$25-50k,5589,20605
2010,1011,1,11,Alabama,,Over $100k,389,3732
2010,1011,1,11,Alabama,,$50-100k,700,3732
2010,1011,1,11,Alabama,,Under $25k,1570,3732
2010,1011,1,11,Alabama,,$25-50k,1073,3732
2010,1013,1,13,Alabama,,$50-100k,1722,8019
2010,1013,1,13,Alabama,,$25-50k,2302,8019
2010,1013,1,13,Alabama,,Over $100k,595,8019
2010,1013,1,13,Alabama,,Under $25k,3400,8019
2010,1015,1,15,Alabama,1.0,Over $100k,5126,46421
2010,1015,1,15,Alabama,1.0,$50-100k,13232,46421
2010,1015,1,15,Alabama,1.0,$25-50k,12218,46421
2010,1015,1,15,Alabama,1.0,Under $25k,15845,46421
2010,1017,1,17,Alabama,,Over $100k,693,13681
2010,1017,1,17,Alabama,,Under $25k,5475,13681
